3
1000
1000
4.308869e-02
10 01
T T
2.154435e-02 2.154435e-02 1.000000 0.025712 0.878561
2.774213e-01 2.130970e-02 2.130970e-02 1.000000 0.989280 0.203367
1.531701e-01 2.051338e-02 2.051338e-02 1.000000 0.382941 0.944442
9.609031e-01 2.024577e-02 2.024577e-02 1.000000 0.044839 0.644795
5.756539e-01 2.016527e-02 2.016527e-02 1.000000 0.987683 0.613249
1.869842e-01 1.920970e-02 1.920970e-02 1.000000 0.773214 0.951318
8.262914e-01 1.867031e-02 1.867031e-02 1.000000 0.191595 0.020985
7.195086e-01 1.832894e-02 1.832894e-02 1.000000 0.680528 0.846548
6.752956e-01 1.824794e-02 1.824794e-02 1.000000 0.593563 0.967650
7.546870e-01 1.822168e-02 1.822168e-02 1.000000 0.107997 0.306447
7.022328e-01 1.802874e-02 1.802874e-02 1.000000 0.287704 0.988472
6.972891e-02 1.796093e-02 1.796093e-02 1.000000 0.984585 0.698428
7.114254e-01 1.785656e-02 1.785656e-02 1.000000 0.196331 0.369134
7.122688e-01 1.769300e-02 1.769300e-02 1.000000 0.366648 0.688350
5.079836e-01 1.729092e-02 1.729092e-02 1.000000 0.938413 0.487348
2.246837e-01 1.715850e-02 1.715850e-02 1.000000 0.463772 0.775227
6.659482e-01 1.706660e-02 1.706660e-02 1.000000 0.280456 0.275753
6.868168e-01 1.700068e-02 1.700068e-02 1.000000 0.179372 0.526872
9.754311e-01 1.691225e-02 1.691225e-02 1.000000 0.224370 0.941900
9.879516e-01 1.658042e-02 1.658042e-02 1.000000 0.844433 0.966280
6.106777e-01 1.654833e-02 1.654833e-02 1.000000 0.265653 0.718687
6.029014e-01 1.625560e-02 1.625560e-02 1.000000 0.381107 0.912828
3.100275e-01 1.600230e-02 1.600230e-02 1.000000 0.736213 0.049755
1.192575e-01 1.598335e-02 1.598335e-02 1.000000 0.616304 0.038658
3.278164e-01 1.588479e-02 1.588479e-02 1.000000 0.063713 0.805911
9.588324e-01 1.587466e-02 1.587466e-02 1.000000 0.748747 0.271047
6.296097e-01 1.582274e-02 1.582274e-02 1.000000 0.669291 0.681205
2.742397e-02 1.512243e-02 1.512243e-02 1.000000 0.574065 0.642813
2.687711e-01 1.494212e-02 1.494212e-02 1.000000 0.645590 0.210329
5.351591e-01 1.467664e-02 1.467664e-02 1.000000 0.571285 0.860451
3.965167e-02 1.462346e-02 1.462346e-02 1.000000 0.373136 0.433000
6.063993e-02 1.433919e-02 1.433919e-02 1.000000 0.848649 0.179714
3.974466e-01 1.432600e-02 1.432600e-02 1.000000 0.203635 0.414074
5.645961e-01 1.427041e-02 1.427041e-02 1.000000 0.204380 0.392164
9.892460e-01 1.417261e-02 1.417261e-02 1.000000 0.752060 0.877794
6.894911e-01 1.386281e-02 1.386281e-02 1.000000 0.140186 0.149903
1.293903e-01 1.381683e-02 1.381683e-02 1.000000 0.302269 0.882486
3.839776e-01 1.353691e-02 1.353691e-02 1.000000 0.352426 0.107638
1.779226e-01 1.353113e-02 1.353113e-02 1.000000 0.932474 0.886177
7.897069e-02 1.344796e-02 1.344796e-02 1.000000 0.300176 0.699103
2.367860e-03 1.334165e-02 1.334165e-02 1.000000 0.343310 0.943853
1.377794e-01 1.319993e-02 1.319993e-02 1.000000 0.632800 0.246524
6.443406e-01 1.318015e-02 1.318015e-02 1.000000 0.749460 0.459561
5.909463e-01 1.308757e-02 1.308757e-02 1.000000 0.736937 0.132082
4.729603e-01 1.295775e-02 1.295775e-02 1.000000 0.376433 0.562120
6.015504e-01 1.294582e-02 1.294582e-02 1.000000 0.604152 0.449688
5.493430e-01 1.284871e-02 1.284871e-02 1.000000 0.773583 0.181509
9.051779e-01 1.281846e-02 1.281846e-02 1.000000 0.825762 0.254657
5.245875e-01 1.258017e-02 1.258017e-02 1.000000 0.794908 0.726393
1.757476e-01 1.253782e-02 1.253782e-02 1.000000 0.964612 0.863355
2.382088e-01 1.244681e-02 1.244681e-02 1.000000 0.576316 0.980744
4.033206e-02 1.223188e-02 1.223188e-02 1.000000 0.357839 0.304497
2.420907e-01 1.220336e-02 1.220336e-02 1.000000 0.664633 0.845796
1.602155e-01 1.209702e-02 1.209702e-02 1.000000 0.289427 0.294135
3.652922e-01 1.206749e-02 1.206749e-02 1.000000 0.122711 0.652952
4.139738e-01 1.199258e-02 1.199258e-02 1.000000 0.833050 0.653435
9.606712e-01 1.195366e-02 1.195366e-02 1.000000 0.149392 0.297827
2.964090e-01 1.191435e-02 1.191435e-02 1.000000 0.338931 0.294959
7.954362e-01 1.187364e-02 1.187364e-02 1.000000 0.660630 0.053652
9.350139e-02 1.178414e-02 1.178414e-02 1.000000 0.695333 0.750022
9.538206e-01 1.175508e-02 1.175508e-02 1.000000 0.828555 0.467504
3.533272e-01 1.159518e-02 1.159518e-02 1.000000 0.886524 0.688434
8.947485e-01 1.154138e-02 1.154138e-02 1.000000 0.224497 0.779317
9.982677e-01 1.142172e-02 1.142172e-02 1.000000 0.073188 0.257944
1.639230e-01 1.135967e-02 1.135967e-02 1.000000 0.697957 0.681032
9.773890e-02 1.121146e-02 1.121146e-02 1.000000 0.566125 0.988359
7.448714e-01 1.118395e-02 1.118395e-02 1.000000 0.947747 0.274213
8.230209e-01 1.118226e-02 1.118226e-02 1.000000 0.830695 0.107593
8.590401e-01 1.117870e-02 1.117870e-02 1.000000 0.573534 0.298020
1.302185e-01 1.115556e-02 1.115556e-02 1.000000 0.413860 0.814094
